filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_2_hMIN.pdb,17,9.6,0,0,0.5647058823529412,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_6_hMIN.pdb,17,9.6,0,0,0.5647058823529412,2,139,2,73,1,74,1,63,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_8_hMIN.pdb,17,9.6,0,0,0.5647058823529412,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_3_hMIN.pdb,17,9.6,0,0,0.5647058823529412,2,139,2,73,1,74,3,11,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_10_hMIN.pdb,17,9.6,0,0,0.5647058823529412,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_2_hMIN.pdb,17,9.599999999999998,0,0,0.5647058823529411,2,139,2,73,1,74,4,10,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_5_hMIN.pdb,17,9.4,0,0,0.5529411764705883,2,139,5,46,2,15,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_5_hMIN.pdb,17,9.4,0,0,0.5529411764705883,2,139,2,73,1,74,1,63,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_5_hMIN.pdb,17,9.4,0,0,0.5529411764705883,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_5_hMIN.pdb,17,9.399999999999999,0,0,0.5529411764705882,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_9_hMIN.pdb,17,9.399999999999999,0,0,0.5529411764705882,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_10_hMIN.pdb,17,9.200000000000001,0,0,0.5411764705882354,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_6_hMIN.pdb,17,9.2,0,0,0.5411764705882353,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_4_hMIN.pdb,17,9.2,0,0,0.5411764705882353,2,139,7,3,5,6,0,12,7,5
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_9_hMIN.pdb,17,9.2,0,0,0.5411764705882353,2,139,3,14,6,13,4,10,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_10_hMIN.pdb,17,9.2,0,0,0.5411764705882353,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_2_hMIN.pdb,17,9.0,0,0,0.5294117647058824,2,139,2,73,1,74,4,10,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_6_hMIN.pdb,17,9.0,0,0,0.5294117647058824,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_8_hMIN.pdb,17,9.0,0,0,0.5294117647058824,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_10_hMIN.pdb,17,9.0,0,0,0.5294117647058824,2,139,5,46,2,15,1,63,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_1_hMIN.pdb,17,9.0,0,0,0.5294117647058824,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_8_hMIN.pdb,17,9.0,0,0,0.5294117647058824,1,1,1,1,1,74,0,12,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_7_hMIN.pdb,17,8.8,0,0,0.5176470588235295,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_3_hMIN.pdb,17,8.8,0,0,0.5176470588235295,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_8_hMIN.pdb,17,8.8,0,0,0.5176470588235295,2,139,3,14,6,13,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_2_hMIN.pdb,17,8.799999999999999,0,0,0.5176470588235293,2,139,5,46,2,15,7,5,0,14
